Description,Price,ReviewCount,Url,Website Source
"Dell Latitude 7414 Rugged Laptop, Core i5-6300U 2.4GHz, 16GB, 512GB SSD, 14in HD, Win11P64, Webcam, Manufacturer Refurbished",$729.99,,https://www.target.com/p/dell-latitude-7414-rugged-laptop-core-i5-6300u-2-4ghz-16gb-512gb-ssd-14in-hd-win11p64-webcam-manufacturer-refurbished/-/A-1001190968#lnk=sametab,Target
"Dell Latitude 5400 Laptop, Core i7-8665U 1.9GHz, 16GB, 512GB SSD, 14in FHD, Win11P64, Webcam, TOUCH, Manufacturer Refurbished",$482.99,,https://www.target.com/p/dell-latitude-5400-laptop-core-i7-8665u-1-9ghz-16gb-512gb-ssd-14in-fhd-win11p64-webcam-touch-manufacturer-refurbished/-/A-1001190962#lnk=sametab,Target
"Dell 5400 Core i5-8365U 1.6GHz, 16GB, 256GB SSD, 14"" HD, Windows 11 Pro, Webcam, Manufacturer Refurbished",$326.99,,https://www.target.com/p/dell-5400-core-i5-8365u-1-6ghz-16gb-256gb-ssd-14-hd-windows-11-pro-webcam-manufacturer-refurbished/-/A-92933610#lnk=sametab,Target
"Dell 7410 Laptop, Core i5-10310U 1.7GHz, 8GB, 256GB SSD, 14"" FHD, Win11P64, Webcam, Manufacturer Refurbished",$427.99,,https://www.target.com/p/dell-7410-laptop-core-i5-10310u-1-7ghz-8gb-256gb-ssd-14-fhd-win11p64-a-grade-webcam-manufacturer-refurbished/-/A-89983543#lnk=sametab,Target
"Dell Precision 7730 Laptop, Xeon E-2176M 2.7GHz, 32GB, 1TB SSD, 17.3"" FHD, Win11P64, CAM, NVIDIA Quadro P3200 6GB, Manufacturer Refurbished",$999.99,,https://www.target.com/p/dell-precision-7730-laptop-xeon-e-2176m-2-7ghz-32gb-1tb-ssd-17-3-fhd-win11p64-cam-nvidia-quadro-p3200-6gb-manufacturer-refurbished/-/A-89441226#lnk=sametab,Target
"Dell XPS 7390 Laptop, Core i5-10210U 1.6GHz, 8GB, 256GB SSD, 13.3in FHD, Win11P64, Webcam, Manufacturer Refurbished",$344.99,,https://www.target.com/p/dell-xps-7390-laptop-core-i5-10210u-1-6ghz-8gb-256gb-ssd-13-3in-fhd-win11p64-webcam-manufacturer-refurbished/-/A-1001190948#lnk=sametab,Target
"Dell, Precision 7550 Laptop, Xeon W-10885M 2.4GHz, 64GB, 2TB SSD, 15.6in FHD, Win11P64, Webcam, Nvidia Quadro RTX 3000 6GB, Manufacturer Refurbished","$1,322.99",,https://www.target.com/p/dell-precision-7550-laptop-xeon-w-10885m-2-4ghz-64gb-2tb-ssd-15-6in-fhd-win11p64-manufacturer-refurbished/-/A-91913428#lnk=sametab,Target
"Dell Precision 7730, Core i7-8850H 2.6GHz, 64GB, 2TB NVMe, 17.3"" FHD, Win11P64, Webcam, NVIDIA Quadro P3200 6GB, New WD Black SSD, Manufacturer","$1,256.99",,https://www.target.com/p/dell-precision-7730-core-i7-8850h-2-6ghz-64gb-2tb-nvme-17-3-fhd-win11p64-webcam-nvidia-quadro-p3200-6gb-new-wd-black-ssd-manufacturer/-/A-93712117#lnk=sametab,Target
"Dell Precision 7550 Laptop, Core i5-10400H 2.6GHz, 32GB, 1TB SD, 15.6"" FHD, Win11P64, CAM, Nvidia Quadro RTX 3000 6GB, Manufacturer Refurbished","$1,287.99",,https://www.target.com/p/dell-precision-7550-laptop-core-i5-10400h-2-6ghz-32gb-1tb-sd-15-6-fhd-win11p64-cam-nvidia-quadro-rtx-3000-6gb-manufacturer-refurbished/-/A-89441967#lnk=sametab,Target
"Dell Latitude 5420, Core i5-1145G7 2.6GHz, 32GB, 2TB NVMe, 14"" FHD, Win11P64, Webcam, New WD Black SSD, Manufacturer Refurbished",$645.99,,https://www.target.com/p/dell-latitude-5420-core-i5-1145g7-2-6ghz-32gb-2tb-nvme-14-fhd-win11p64-webcam-new-wd-black-ssd-manufacturer-refurbished/-/A-93712060#lnk=sametab,Target
